road_id,type,from_area,to_area,description,crosses_river,is_bridge,confidence,preferred,popularity,scenic_score,hot_route_group,hot_route_name,notes,geometry_wkt
R081,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path88; needs_bridge_check,"LINESTRING(1707.6629 2319.3102, 1709 2235)"
R082,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path89; needs_bridge_check,"LINESTRING(1354.1095 2583.0611, 1718.2695 2579.5254999999997)"
R083,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path90; needs_bridge_check,"LINESTRING(1718.2695 2579.5255, 1888.6822000000002 2575.9900000000002)"
R084,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path91; needs_bridge_check,"LINESTRING(1888.6822 2575.99, 1931.1086 2353.9585, 2175 2343)"
R085,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path92; needs_bridge_check,"LINESTRING(1354.1095 2583.0611, 1361.1806 2316.4818)"
R086,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path93; needs_bridge_check,"LINESTRING(1354.1095 2583.0611, 1151.1698000000001 2578.8184)"
R087,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path94; needs_bridge_check,"LINESTRING(1354.1095 2583.0611, 1355.5237 2775.3941)"
R088,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path95; needs_bridge_check,"LINESTRING(1355.5237 2775.3941, 1716.8553 2776.8083)"
R089,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path96; needs_bridge_check,"LINESTRING(1716.8553 2776.8083, 1718.2694999999999 2579.5255)"
R090,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path97; needs_bridge_check,"LINESTRING(1716.8553 2776.8083, 2162.3325 2771.8586)"
R091,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path98; needs_bridge_check,"LINESTRING(2162.3325 2771.8586, 2163.0396 2613.4667)"
R092,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path99; needs_bridge_check,"LINESTRING(2163.0396 2613.4667, 1888.6822 2575.99)"
R093,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path100; needs_bridge_check,"LINESTRING(1355.5237 2775.3941, 1165.312 2775.3941)"
R094,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path101; needs_bridge_check,"LINESTRING(1165.312 2775.3941, 1151.1698 2578.8184)"
R095,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path102; needs_bridge_check,"LINESTRING(1151.1698 2578.8184, 980.05 2578.8184, 987.82817 2399.2133000000003)"
R096,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path103; needs_bridge_check,"LINESTRING(987.82817 2399.2133, 963.07944 2438.1041999999998, 789.8382799999999 2435.9829)"
R097,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path104; needs_bridge_check,"LINESTRING(789.83828 2435.9829, 838.62864 2298.8041)"
R098,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path105; needs_bridge_check,"LINESTRING(637.81032 2270.5199, 838.62864 2298.8041)"
R099,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path106; needs_bridge_check,"LINESTRING(642.76006 2411.9412, 644.8813899999999 2515.8859)"
R100,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path107; needs_bridge_check,"LINESTRING(440.52753 2662.257, 642.7600600000001 2670.7423)"
R101,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path108; needs_bridge_check,"LINESTRING(440.52753 2662.257, 431.33514 2503.8651, 456.08387000000005 2502.4509, 452.54834000000005 2411.2340999999997)"
R102,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path109; needs_bridge_check,"LINESTRING(452.54834 2411.2341, 642.7600600000001 2411.9412)"
